,id
561,1339745139804266498
562,1340890422797856771
563,1341565220838227969
564,1343944646959894530
565,1338289209334001664
566,1337070944502898690
567,1342891449524903937
568,1340891796491005952
569,1339661688392605699
570,1345223055040073728
571,1342603100562075648
572,1339969240808509442
573,1340489939784491013
574,1336749714914631688
575,1344769299915804672
576,1337517536640987136
577,1339727825406967809
578,1338376026326384641
579,1344180852427657216
580,1335847592438226944
581,1343831719351238656
582,1341151070743982080
583,1342924738016935937
584,1337606445181796353
585,1336066351920660480
586,1342872270885236736
587,1339549831161806849
588,1336075370311774209
589,1341731203003478019
590,1337570824207835136
591,1336628609482698752
592,1344258764443181056
593,1342604645231943680
594,1341643841439490049
595,1344250238576566274
596,1345154724346130432
597,1344040725780942849
598,1339330089368993794
599,1330636189494169600
600,1336757802417713152
601,1339292599601905665
602,1338908396427198466
603,1339699146979225603
604,1337863600292077568
605,1335992473181540352
606,1336859065935220736
607,1342881003803713538
608,1339490554053275648
609,1336297486353313793
610,1344291836416954369
611,1336769001104531457
612,1338212488089718785
613,1345392536949579777
614,1343665481509552128
615,1334761567439687682
616,1342120475053457412
617,1337111701422895104
618,1345473340157423628
619,1342525908683468801
620,1335830526205161472
621,1337216604023635971
622,1340958240184516611
623,1339598810125721603
624,1337163440465399808
625,1341773710676680704
626,1340443012313300992
627,948374280743432192
628,1338174070026883082
629,1339401861955080193
630,1336481394852126721
631,1337400494956765184
632,1340730356677419009
633,1342588021162586115
634,1340224228725932032
635,1337199545155899395
636,1337457531707219968
637,1337569623135367175
638,1344298900321144832
639,1344228423867236352
640,1342865866275229696
641,1343091421981491201
642,1337750447596199940
643,1337110306179280896
644,1340675842708557829
645,1339783311741239296
646,1341238130310062082
647,1341736162033979394
648,1339742630314463232
649,1337814292951748609
650,1337349239312166912
651,1338956534768750592
652,1340919056099135493
653,1335884640587026432
654,1340477234541453315
655,1336832104169029632
656,1336335875467186177
657,1336560175243796481
658,1345015243295121408
659,1338141705309057024
660,1339829212082016256
661,1337583463818436608
662,1336478479190163458
663,1336667898358730754
